CustomerID,Lookalikes
C0001,"[('C0184', 0.999960), ('C0048', 0.999918), ('C0190', 0.999797)]"
C0002,"[('C0088', 0.999712), ('C0084', 0.999309), ('C0162', 0.998652)]"
C0003,"[('C0157', 0.999992), ('C0076', 0.999708), ('C0035', 0.999692)]"
C0004,"[('C0132', 0.999948), ('C0024', 0.999678), ('C0194', 0.999595)]"
C0005,"[('C0186', 0.999919), ('C0178', 0.999900), ('C0146', 0.999568)]"
C0006,"[('C0063', 0.999912), ('C0126', 0.999893), ('C0187', 0.999873)]"
C0007,"[('C0146', 1.000000), ('C0115', 0.999670), ('C0005', 0.999558)]"
C0008,"[('C0160', 0.998055), ('C0079', 0.997560), ('C0059', 0.997475)]"
C0009,"[('C0198', 0.999997), ('C0025', 0.999756), ('C0052', 0.999742)]"
C0010,"[('C0068', 0.996522), ('C0111', 0.996443), ('C0113', 0.996214)]"
C0011,"[('C0063', 0.999973), ('C0006', 0.999825), ('C0137', 0.999706)]"
C0012,"[('C0026', 0.999937), ('C0163', 0.999930), ('C0072', 0.999858)]"
C0013,"[('C0099', 0.999392), ('C0108', 0.999275), ('C0107', 0.995950)]"
C0014,"[('C0060', 0.999975), ('C0089', 0.996494), ('C0172', 0.995139)]"
C0015,"[('C0071', 0.999828), ('C0085', 0.999474), ('C0032', 0.999471)]"
C0016,"[('C0183', 0.999609), ('C0067', 0.998431), ('C0098', 0.997984)]"
C0017,"[('C0041', 0.995800), ('C0057', 0.993425), ('C0075', 0.990475)]"
C0018,"[('C0122', 0.999801), ('C0073', 0.999338), ('C0165', 0.999322)]"
C0019,"[('C0165', 0.999907), ('C0073', 0.999536), ('C0018', 0.998765)]"
C0020,"[('C0151', 0.999691), ('C0025', 0.999524), ('C0009', 0.999397)]"
